epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,11.5127,0.92146,0.90179,1,0.43774,0.00034296,0.00034296,0.00034296
2,23.8365,0.41076,0.98214,1,0.07167,0.00066555,0.00066555,0.00066555
3,38.0897,0.14309,0.97321,1,0.09272,0.000952771,0.000952771,0.000952771
4,51.0335,0.18355,0.97321,1,0.09078,0.00120463,0.00120463,0.00120463
5,65.222,0.13141,0.95536,1,0.08186,0.00114606,0.00114606,0.00114606
6,77.7992,0.1583,0.95536,1,0.13424,0.00107532,0.00107532,0.00107532
7,86.8414,0.155,0.97321,1,0.17461,0.00100459,0.00100459,0.00100459
8,98.9653,0.10452,0.97321,1,0.10006,0.000933851,0.000933851,0.000933851
9,110.225,0.06134,0.98214,1,0.06086,0.000863116,0.000863116,0.000863116
10,123.739,0.16404,0.98214,1,0.08173,0.00079238,0.00079238,0.00079238
11,139.284,0.04035,0.97321,1,0.06025,0.000721645,0.000721645,0.000721645
12,151.738,0.04525,0.98214,1,0.06459,0.000650909,0.000650909,0.000650909
13,166.063,0.05994,0.98214,1,0.06581,0.000580174,0.000580174,0.000580174
14,178.521,0.09144,0.98214,1,0.05696,0.000509438,0.000509438,0.000509438
15,191.69,0.07438,0.97321,1,0.06526,0.000438703,0.000438703,0.000438703
16,204.335,0.05024,0.98214,1,0.0486,0.000367967,0.000367967,0.000367967
17,217.804,0.08138,0.98214,1,0.04796,0.000297232,0.000297232,0.000297232
18,230.979,0.0242,0.98214,1,0.04872,0.000226497,0.000226497,0.000226497
19,243.729,0.03483,0.98214,1,0.0457,0.000155761,0.000155761,0.000155761
20,257.101,0.18014,0.97321,1,0.05855,8.50255e-05,8.50255e-05,8.50255e-05
